,AGNO,RBD,COD_REG_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE2,PROM_ASIS_APR_HOM,PROM_ASIS_APR_MUJ,PROM_ASIS_REP_HOM,PROM_ASIS_REP_MUJ,PROM_ASIS
214,2017,229,2,1,1,0,1,2,"90,8079268292683","90,5708333333333","69,5", ,"90,6333333333333"
215,2017,230,2,1,1,0,1,2,"92,9225589225589","92,5602836879433",84,84,"92,6712328767123"
216,2017,231,2,1,1,0,1,2,"92,0416666666667","92,0523076923077",85,"92,5","91,9554896142433"
217,2017,232,2,1,1,0,1,2,"89,7699680511182","90,10546875","84,6111111111111","87,5","89,7428087986464"
218,2017,239,2,1,1,0,1,2,"93,4883720930233","93,7602739726027","84,4","91,6666666666667","93,1566455696203"
219,2017,240,2,1,1,0,1,2,"91,607250755287","92,1082089552239","88,5","92,5","91,8225538971808"
220,2017,243,2,1,1,1,1,2,"96,375","95,4444444444444", ,"98,5","96,1578947368421"
221,2017,246,2,1,1,1,1,2,"91,3333333333333","97,6666666666667",96, ,"94,7142857142857"
222,2017,248,2,1,1,1,1,2,91,"95,5",95, ,"94,25"
223,2017,252,2,1,1,1,1,2,"95,5740740740741","95,5333333333333", , ,"95,5595238095238"
224,2017,253,2,3,2,0,1,2,"92,426116838488","93,0653594771242","82,2857142857143",70,"92,595041322314"
225,2017,253,2,3,2,0,1,5,"91,1714285714286","90,588785046729","74,375",72,"90,1945701357466"
226,2017,254,2,3,2,0,1,2,90,"93,2075983717775", ,"80,7777777777778","93,053547523427"
227,2017,254,2,3,2,0,1,5, ,"91,6680327868852", ,"79,6666666666667","91,38"
228,2017,255,2,3,2,0,1,2,"94,2865329512894","95,1325648414986","94,4444444444444",88,"94,6390449438202"
229,2017,255,2,3,2,0,1,5,"94,0594059405941","91,6186440677966","94,6",85,"92,6491228070175"
230,2017,256,2,3,2,0,1,2,"93,645264847512","93,986","89,2592592592593","92,4375","93,6732418524871"
231,2017,256,2,3,2,0,1,5,"93,9861751152074","93,5221238938053","89,8461538461538","89,5714285714286","93,5766738660907"
232,2017,257,2,4,3,0,1,2,"93,0706806282723","92,8934169278997","90,4",95,"92,974540311174"
233,2017,257,2,4,3,0,1,5,"92,364161849711","92,3450292397661",85,"90,7777777777778","92,0546448087432"
234,2017,268,2,2,1,1,1,2,"92,7647058823529","94,3333333333333",62, ,"92,5454545454545"
235,2017,269,2,2,1,1,1,2,"92,1320754716981","92,3949044585987","83,4","89,5","92,1846635367762"
236,2017,270,2,2,1,1,1,2,"92,0789473684211","92,4090909090909","92,5",76,"92,1241379310345"
237,2017,270,2,2,1,1,1,5,"92,76","91,3823529411765",95,"85,5","91,609375"
238,2017,271,2,2,1,1,1,2,"99,3333333333333","99,2", , ,"99,25"
